State,GA,Bill Identifier,URL,Path to full text,Keywords
Illinois,93,HB1604,https://www.ilga.gov/Documents/legislation/93/HB/09300HB1604.htm,illinois/billtexts/GA93/HB1604.txt,"Immigration, Alien"
Illinois,93,HB1633,https://www.ilga.gov/Documents/legislation/93/HB/09300HB1633.htm,illinois/billtexts/GA93/HB1633.txt,Foreign
Illinois,93,HB1730,https://www.ilga.gov/Documents/legislation/93/HB/09300HB1730.htm,illinois/billtexts/GA93/HB1730.txt,Foreign
Illinois,93,HB1976,https://www.ilga.gov/Documents/legislation/93/HB/09300HB1976.htm,illinois/billtexts/GA93/HB1976.txt,Foreign
Illinois,93,HB1984,https://www.ilga.gov/Documents/legislation/93/HB/09300HB1984.htm,illinois/billtexts/GA93/HB1984.txt,Foreign
Illinois,93,HB2056,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2056.htm,illinois/billtexts/GA93/HB2056.txt,Foreign
Illinois,93,HB2134,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2134.htm,illinois/billtexts/GA93/HB2134.txt,Foreign
Illinois,93,HB2135,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2135.htm,illinois/billtexts/GA93/HB2135.txt,Foreign
Illinois,93,HB2136,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2136.htm,illinois/billtexts/GA93/HB2136.txt,Foreign
Illinois,93,HB2165,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2165.htm,illinois/billtexts/GA93/HB2165.txt,Foreign
Illinois,93,HB2182,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2182.htm,illinois/billtexts/GA93/HB2182.txt,Foreign
Illinois,93,HB2270,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2270.htm,illinois/billtexts/GA93/HB2270.txt,Foreign
Illinois,93,HB2274,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2274.htm,illinois/billtexts/GA93/HB2274.txt,Foreign
Illinois,93,HB2280,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2280.htm,illinois/billtexts/GA93/HB2280.txt,Foreign
Illinois,93,HB2293,https://www.ilga.gov/Documents/legislation/93/HB/09300HB2293.htm,illinois/billtexts/GA93/HB2293.txt,Foreign
