State,Policy (bill) identifier,Policy sponsor,Policy sponsor party,Link to bill,bill text,Cosponsor,Introduced (Y/N),Introduced date,Chamber where introduced,Effective (Y/N),Effective date,Passed introduced chamber (Y/N),Passed introduced chamber date,Passed second chamber (Y/N),Passed second chamber date,Pending (Y/N),Dead (Y/N),Chamber where died,Dead date,Enacted (Y/N),Act identifier,Enacted Date,Matched keywords
Iowa,HF997,COMMITTEE ON WAYS AND MEANS (SUCCESSOR TO HF 759) (SUCCESSOR TO HSB 109),,https://www.legis.iowa.gov/legislation/BillBook?ba=HF997&ga=91,bill_texts/GA91/HF997.txt,,,,House,,,,,,,Y,,,,,,,Foreign
Iowa,HF954,,,https://www.legis.iowa.gov/legislation/BillBook?ba=HF954&ga=91,bill_texts/GA91/HF954.txt,,,,House,,,,,,,Y,,,,,Chapter 45,,Citizenship
Iowa,HF952,COMMITTEE ON STATE GOVERNMENT (SUCCESSOR TO HSB 71),,https://www.legis.iowa.gov/legislation/BillBook?ba=HF952&ga=91,bill_texts/GA91/HF952.txt,,,,House,,,,,,,Y,,,,,Chapter 13,,Foreign
Iowa,HF946,"COMMITTEE ON JUDICIARY (SUCCESSOR TO HSB 285) (As Amended and Passed by the House March 26, 2025 )",,https://www.legis.iowa.gov/legislation/BillBook?ba=HF946&ga=91,bill_texts/GA91/HF946.txt,,,,House,,,,,,,Y,,,,,,,Immigration
Iowa,HF930,COMMITTEE ON STATE GOVERNMENT (SUCCESSOR TO HSB 291),,https://www.legis.iowa.gov/legislation/BillBook?ba=HF930&ga=91,bill_texts/GA91/HF930.txt,,,,House,,,,,,,Y,,,,,,,Foreign
Iowa,HF927,COMMITTEE ON ENVIRONMENTAL PROTECTION (SUCCESSOR TO HF 191),,https://www.legis.iowa.gov/legislation/BillBook?ba=HF927&ga=91,bill_texts/GA91/HF927.txt,,,,House,,,,,,,Y,,,,,,,Border
Iowa,HF912,COMMITTEE ON VETERANS AFFAIRS (SUCCESSOR TO HF 469),,https://www.legis.iowa.gov/legislation/BillBook?ba=HF912&ga=91,bill_texts/GA91/HF912.txt,,,,House,,,,,,,Y,,,,,Chapter 239,,Foreign
Iowa,HF1045,COMMITTEE ON APPROPRIATIONS (SUCCESSOR TO HSB 337),,https://www.legis.iowa.gov/legislation/BillBook?ba=HF1045&ga=91,bill_texts/GA91/HF1045.txt,,,,House,,,,,,,Y,,,,,Chapter 284,,Citizenship
Iowa,HF1043,COMMITTEE ON APPROPRIATIONS (SUCCESSOR TO HSB 338),,https://www.legis.iowa.gov/legislation/BillBook?ba=HF1043&ga=91,bill_texts/GA91/HF1043.txt,,,,House,,,,,,,Y,,,,,Chapter 1148,,Foreign
Iowa,HF1040,COMMITTEE ON APPROPRIATIONS (SUCCESSOR TO HSB 336),,https://www.legis.iowa.gov/legislation/BillBook?ba=HF1040&ga=91,bill_texts/GA91/HF1040.txt,,,,House,,,,,,,Y,,,,,Chapter 1148,,Alien
Iowa,HF1028,"COMMITTEE ON APPROPRIATIONS (SUCCESSOR TO HF 756) (SUCCESSOR TO HSB 72) (As Amended and Passed by the House April 24, 2025 )",,https://www.legis.iowa.gov/legislation/BillBook?ba=HF1028&ga=91,bill_texts/GA91/HF1028.txt,,,,House,,,,,,,Y,,,,,Chapter 22,,Foreign
Iowa,SF94,SALMON,,https://www.legis.iowa.gov/legislation/BillBook?ba=SF94&ga=91,bill_texts/GA91/SF94.txt,,,,Senate,,,,,,,Y,,,,,,,Citizenship
Iowa,SF55,EVANS,,https://www.legis.iowa.gov/legislation/BillBook?ba=SF55&ga=91,bill_texts/GA91/SF55.txt,,,,Senate,,,,,,,Y,,,,,Chapter 321,,Alien
Iowa,SF54,ROWLEY,,https://www.legis.iowa.gov/legislation/BillBook?ba=SF54&ga=91,bill_texts/GA91/SF54.txt,,,,Senate,,,,,,,Y,,,,,Chapter 535,,Foreign
Iowa,SF48,"LOFGREN, SALMON, SHIPLEY, ALONS, KRAAYENBRINK, ROWLEY, EVANS, TAYLOR, GRUENHAGEN, CAMPBELL, and KLIMESH",,https://www.legis.iowa.gov/legislation/BillBook?ba=SF48&ga=91,bill_texts/GA91/SF48.txt,,,,Senate,,,,,,,Y,,,,,Chapter 148,,Foreign
Iowa,SF2,LOFGREN,,https://www.legis.iowa.gov/legislation/BillBook?ba=SF2&ga=91,bill_texts/GA91/SF2.txt,,,,Senate,,,,,,,Y,,,,,Chapter 147,,Foreign
Iowa,SF173,COMMITTEE ON LOCAL GOVERNMENT (SUCCESSOR TO SSB 1069),,https://www.legis.iowa.gov/legislation/BillBook?ba=SF173&ga=91,bill_texts/GA91/SF173.txt,,,,Senate,,,,,,,Y,,,,,,,Border
Iowa,SF161,WESTRICH,,https://www.legis.iowa.gov/legislation/BillBook?ba=SF161&ga=91,bill_texts/GA91/SF161.txt,,,,Senate,,,,,,,Y,,,,,Chapter 199,,Alien
Iowa,SF155,BISIGNANO,,https://www.legis.iowa.gov/legislation/BillBook?ba=SF155&ga=91,bill_texts/GA91/SF155.txt,,,,Senate,,,,,,,Y,,,,,,,"Citizenship, Foreign"
