State,GA,Bill Identifier,URL,Path to full text,Keywords
Illinois,100,HB0636,https://www.ilga.gov/Documents/legislation/100/HB/10000HB0636.htm,billtext/GA100/HB0636.txt,Foreign
Illinois,100,HB0647,https://www.ilga.gov/Documents/legislation/100/HB/10000HB0647.htm,billtext/GA100/HB0647.txt,"Immigration, Citizenship, Visa"
Illinois,100,HB0657,https://www.ilga.gov/Documents/legislation/100/HB/10000HB0657.htm,billtext/GA100/HB0657.txt,Foreign
Illinois,100,HB0674,https://www.ilga.gov/Documents/legislation/100/HB/10000HB0674.htm,billtext/GA100/HB0674.txt,"Immigration, Alien, Visa, Foreign"
Illinois,100,HB0677,https://www.ilga.gov/Documents/legislation/100/HB/10000HB0677.htm,billtext/GA100/HB0677.txt,"Immigration, Citizenship, Foreign"
Illinois,100,HB0689,https://www.ilga.gov/Documents/legislation/100/HB/10000HB0689.htm,billtext/GA100/HB0689.txt,"Visa, Foreign"
Illinois,100,HB0699,https://www.ilga.gov/Documents/legislation/100/HB/10000HB0699.htm,billtext/GA100/HB0699.txt,"Immigration, Alien, Visa, Foreign"
Illinois,100,HB0703,https://www.ilga.gov/Documents/legislation/100/HB/10000HB0703.htm,billtext/GA100/HB0703.txt,"Immigration, Citizenship, Migrant, Visa, Foreign"
Illinois,100,HB0705,https://www.ilga.gov/Documents/legislation/100/HB/10000HB0705.htm,billtext/GA100/HB0705.txt,"Immigration, Citizenship"
Illinois,100,HB0709,https://www.ilga.gov/Documents/legislation/100/HB/10000HB0709.htm,billtext/GA100/HB0709.txt,"Alien, Visa, Foreign"
Illinois,100,HB0712,https://www.ilga.gov/Documents/legislation/100/HB/10000HB0712.htm,billtext/GA100/HB0712.txt,"Visa, Border"
Illinois,100,HB0720,https://www.ilga.gov/Documents/legislation/100/HB/10000HB0720.htm,billtext/GA100/HB0720.txt,"Immigration, Alien, Migrant, Visa, Foreign"
Illinois,100,HB0727,https://www.ilga.gov/Documents/legislation/100/HB/10000HB0727.htm,billtext/GA100/HB0727.txt,Foreign
Illinois,100,HB0745,https://www.ilga.gov/Documents/legislation/100/HB/10000HB0745.htm,billtext/GA100/HB0745.txt,"Immigration, Alien, Migrant, Visa, Foreign"
Illinois,100,HB0762,https://www.ilga.gov/Documents/legislation/100/HB/10000HB0762.htm,billtext/GA100/HB0762.txt,Foreign
Illinois,100,HB0763,https://www.ilga.gov/Documents/legislation/100/HB/10000HB0763.htm,billtext/GA100/HB0763.txt,Migrant
Illinois,100,HB0772,https://www.ilga.gov/Documents/legislation/100/HB/10000HB0772.htm,billtext/GA100/HB0772.txt,Foreign
Illinois,100,HB0774,https://www.ilga.gov/Documents/legislation/100/HB/10000HB0774.htm,billtext/GA100/HB0774.txt,"Visa, Foreign"
Illinois,100,HB0784,https://www.ilga.gov/Documents/legislation/100/HB/10000HB0784.htm,billtext/GA100/HB0784.txt,Migrant
Illinois,100,HB0789,https://www.ilga.gov/Documents/legislation/100/HB/10000HB0789.htm,billtext/GA100/HB0789.txt,Visa
Illinois,100,HB0806,https://www.ilga.gov/Documents/legislation/100/HB/10000HB0806.htm,billtext/GA100/HB0806.txt,Foreign
Illinois,100,HB0818,https://www.ilga.gov/Documents/legislation/100/HB/10000HB0818.htm,billtext/GA100/HB0818.txt,"Border, Foreign"
Illinois,100,HB0824,https://www.ilga.gov/Documents/legislation/100/HB/10000HB0824.htm,billtext/GA100/HB0824.txt,Border
Illinois,100,HB1104,https://www.ilga.gov/Documents/legislation/100/HB/10000HB1104.htm,billtext/GA100/HB1104.txt,Foreign
Illinois,100,HB1210,https://www.ilga.gov/Documents/legislation/100/HB/10000HB1210.htm,billtext/GA100/HB1210.txt,Foreign
Illinois,100,HB1231,https://www.ilga.gov/Documents/legislation/100/HB/10000HB1231.htm,billtext/GA100/HB1231.txt,Foreign
Illinois,100,HB1233,https://www.ilga.gov/Documents/legislation/100/HB/10000HB1233.htm,billtext/GA100/HB1233.txt,Foreign
Illinois,100,HB1236,https://www.ilga.gov/Documents/legislation/100/HB/10000HB1236.htm,billtext/GA100/HB1236.txt,Foreign
Illinois,100,HB1289,https://www.ilga.gov/Documents/legislation/100/HB/10000HB1289.htm,billtext/GA100/HB1289.txt,Foreign
Illinois,100,HB1290,https://www.ilga.gov/Documents/legislation/100/HB/10000HB1290.htm,billtext/GA100/HB1290.txt,Foreign
Illinois,100,HB1291,https://www.ilga.gov/Documents/legislation/100/HB/10000HB1291.htm,billtext/GA100/HB1291.txt,Foreign
Illinois,100,HB1340,https://www.ilga.gov/Documents/legislation/100/HB/10000HB1340.htm,billtext/GA100/HB1340.txt,"Alien, Foreign"
Illinois,100,HB1346,https://www.ilga.gov/Documents/legislation/100/HB/10000HB1346.htm,billtext/GA100/HB1346.txt,Immigration
Illinois,100,HB1370,https://www.ilga.gov/Documents/legislation/100/HB/10000HB1370.htm,billtext/GA100/HB1370.txt,Visa
Illinois,100,HB1543,https://www.ilga.gov/Documents/legislation/100/HB/10000HB1543.htm,billtext/GA100/HB1543.txt,Foreign
Illinois,100,HB1561,https://www.ilga.gov/Documents/legislation/100/HB/10000HB1561.htm,billtext/GA100/HB1561.txt,Foreign
Illinois,100,HB1636,https://www.ilga.gov/Documents/legislation/100/HB/10000HB1636.htm,billtext/GA100/HB1636.txt,Foreign
Illinois,100,HB1650,https://www.ilga.gov/Documents/legislation/100/HB/10000HB1650.htm,billtext/GA100/HB1650.txt,Border
Illinois,100,HB1670,https://www.ilga.gov/Documents/legislation/100/HB/10000HB1670.htm,billtext/GA100/HB1670.txt,Foreign
Illinois,100,HB1766,https://www.ilga.gov/Documents/legislation/100/HB/10000HB1766.htm,billtext/GA100/HB1766.txt,Border
Illinois,100,HB1768,https://www.ilga.gov/Documents/legislation/100/HB/10000HB1768.htm,billtext/GA100/HB1768.txt,Border
Illinois,100,HB1773,https://www.ilga.gov/Documents/legislation/100/HB/10000HB1773.htm,billtext/GA100/HB1773.txt,Foreign
Illinois,100,HB1777,https://www.ilga.gov/Documents/legislation/100/HB/10000HB1777.htm,billtext/GA100/HB1777.txt,Foreign
Illinois,100,HB1783,https://www.ilga.gov/Documents/legislation/100/HB/10000HB1783.htm,billtext/GA100/HB1783.txt,Foreign
Illinois,100,HB1792,https://www.ilga.gov/Documents/legislation/100/HB/10000HB1792.htm,billtext/GA100/HB1792.txt,Visa
