State,GA,Policy (bill) identifier,Policy sponsor,Policy sponsor party,Link to bill,bill text,Cosponsor,Enacted (Y/N),Act identifier,Enacted Date,Matched keywords
Iowa,91,HF290,TUREK,,https://www.legis.iowa.gov/legislation/BillBook?ba=HF290&ga=91,bill_texts/GA91/HF290.txt,,,,,Citizenship
Iowa,91,HF256,LOHSE (COMPANION TO SF 2 BY LOFGREN),,https://www.legis.iowa.gov/legislation/BillBook?ba=HF256&ga=91,bill_texts/GA91/HF256.txt,,,Chapter 147,,Foreign
Iowa,91,HF255,"LEVIN, CROKEN, KRESSIG, and BERGAN",,https://www.legis.iowa.gov/legislation/BillBook?ba=HF255&ga=91,bill_texts/GA91/HF255.txt,,,,,Foreign
Iowa,91,HF254,LOHSE (COMPANION TO SF 48 BY LOFGREN),,https://www.legis.iowa.gov/legislation/BillBook?ba=HF254&ga=91,bill_texts/GA91/HF254.txt,,,Chapter 148,,Foreign
Iowa,91,HF230,BODEN,,https://www.legis.iowa.gov/legislation/BillBook?ba=HF230&ga=91,bill_texts/GA91/HF230.txt,,,,,Alien
Iowa,91,HF210,GUSTOFF (COMPANION TO SF 54 BY ROWLEY),,https://www.legis.iowa.gov/legislation/BillBook?ba=HF210&ga=91,bill_texts/GA91/HF210.txt,,,Chapter 535,,Foreign
Iowa,91,HF469,RINKER,,https://www.legis.iowa.gov/legislation/BillBook?ba=HF469&ga=91,bill_texts/GA91/HF469.txt,,,Chapter 239,,Foreign
Iowa,91,HF451,STONE,,https://www.legis.iowa.gov/legislation/BillBook?ba=HF451&ga=91,bill_texts/GA91/HF451.txt,,,Chapter 423,,Foreign
Iowa,91,HF439,COMMITTEE ON JUDICIARY (SUCCESSOR TO HSB 37),,https://www.legis.iowa.gov/legislation/BillBook?ba=HF439&ga=91,bill_texts/GA91/HF439.txt,,,,,"Immigration, Citizenship, Foreign"
Iowa,91,HF437,,,https://www.legis.iowa.gov/legislation/BillBook?ba=HF437&ga=91,bill_texts/GA91/HF437.txt,,,,,Citizenship
Iowa,91,HF430,SHIPLEY,,https://www.legis.iowa.gov/legislation/BillBook?ba=HF430&ga=91,bill_texts/GA91/HF430.txt,,,,,Border
Iowa,91,HF429,"SHIPLEY, THOMPSON, VONDRAN, WENGRYN, LAWLER, GEARHART, GERHOLD, and DIEKEN",,https://www.legis.iowa.gov/legislation/BillBook?ba=HF429&ga=91,bill_texts/GA91/HF429.txt,,,,,Foreign
Iowa,91,HF428,SHIPLEY,,https://www.legis.iowa.gov/legislation/BillBook?ba=HF428&ga=91,bill_texts/GA91/HF428.txt,,,,,"Border, Foreign"
Iowa,91,HF576,COMMITTEE ON HIGHER EDUCATION (SUCCESSOR TO HF 115),,https://www.legis.iowa.gov/legislation/BillBook?ba=HF576&ga=91,bill_texts/GA91/HF576.txt,,,Chapter 256,,"Migrant, Visa"
Iowa,91,HF575,COMMITTEE ON HIGHER EDUCATION (SUCCESSOR TO HSB 54),,https://www.legis.iowa.gov/legislation/BillBook?ba=HF575&ga=91,bill_texts/GA91/HF575.txt,,,Chapter 22,,Foreign
Iowa,91,HF572,"COMMITTEE ON JUDICIARY (SUCCESSOR TO HSB 15) (As Amended and Passed by the House March 20, 2025 )",,https://www.legis.iowa.gov/legislation/BillBook?ba=HF572&ga=91,bill_texts/GA91/HF572.txt,,,,,Immigration
Iowa,91,HF688,,,https://www.legis.iowa.gov/legislation/BillBook?ba=HF688&ga=91,bill_texts/GA91/HF688.txt,,,,,Foreign
Iowa,91,HF687,,,https://www.legis.iowa.gov/legislation/BillBook?ba=HF687&ga=91,bill_texts/GA91/HF687.txt,,,,,Foreign
Iowa,91,HF666,"SHIPLEY, THOMPSON, FETT, HENDERSON, CISNEROS, GERHOLD, HAYES, WENGRYN, and FISHER",,https://www.legis.iowa.gov/legislation/BillBook?ba=HF666&ga=91,bill_texts/GA91/HF666.txt,,,Chapter 616,,"Alien, Foreign"
Iowa,91,HF800,COMMITTEE ON AGRICULTURE (SUCCESSOR TO HSB 132),,https://www.legis.iowa.gov/legislation/BillBook?ba=HF800&ga=91,bill_texts/GA91/HF800.txt,,,Chapter 182,,Foreign
Iowa,91,HF778,,,https://www.legis.iowa.gov/legislation/BillBook?ba=HF778&ga=91,bill_texts/GA91/HF778.txt,,,,,Foreign
Iowa,91,HF759,COMMITTEE ON STATE GOVERNMENT (SUCCESSOR TO HSB 109),,https://www.legis.iowa.gov/legislation/BillBook?ba=HF759&ga=91,bill_texts/GA91/HF759.txt,,,,,Foreign
Iowa,91,HF756,COMMITTEE ON STATE GOVERNMENT (SUCCESSOR TO HSB 72),,https://www.legis.iowa.gov/legislation/BillBook?ba=HF756&ga=91,bill_texts/GA91/HF756.txt,,,Chapter 22,,Foreign
Iowa,91,HF732,MADISON,,https://www.legis.iowa.gov/legislation/BillBook?ba=HF732&ga=91,bill_texts/GA91/HF732.txt,,,,,Citizenship
Iowa,91,HF730,"MATSON, EHLERT, LEVIN, MADISON, KURTH, and GJERDE",,https://www.legis.iowa.gov/legislation/BillBook?ba=HF730&ga=91,bill_texts/GA91/HF730.txt,,,,,Border
Iowa,91,HF828,R. JOHNSON,,https://www.legis.iowa.gov/legislation/BillBook?ba=HF828&ga=91,bill_texts/GA91/HF828.txt,,,Chapter 22,,Immigration
Iowa,91,HF997,COMMITTEE ON WAYS AND MEANS (SUCCESSOR TO HF 759) (SUCCESSOR TO HSB 109),,https://www.legis.iowa.gov/legislation/BillBook?ba=HF997&ga=91,bill_texts/GA91/HF997.txt,,,,,Foreign
Iowa,91,HF954,,,https://www.legis.iowa.gov/legislation/BillBook?ba=HF954&ga=91,bill_texts/GA91/HF954.txt,,,Chapter 45,,Citizenship
Iowa,91,HF952,COMMITTEE ON STATE GOVERNMENT (SUCCESSOR TO HSB 71),,https://www.legis.iowa.gov/legislation/BillBook?ba=HF952&ga=91,bill_texts/GA91/HF952.txt,,,Chapter 13,,Foreign
Iowa,91,HF946,"COMMITTEE ON JUDICIARY (SUCCESSOR TO HSB 285) (As Amended and Passed by the House March 26, 2025 )",,https://www.legis.iowa.gov/legislation/BillBook?ba=HF946&ga=91,bill_texts/GA91/HF946.txt,,,,,Immigration
Iowa,91,HF930,COMMITTEE ON STATE GOVERNMENT (SUCCESSOR TO HSB 291),,https://www.legis.iowa.gov/legislation/BillBook?ba=HF930&ga=91,bill_texts/GA91/HF930.txt,,,,,Foreign
Iowa,91,HF927,COMMITTEE ON ENVIRONMENTAL PROTECTION (SUCCESSOR TO HF 191),,https://www.legis.iowa.gov/legislation/BillBook?ba=HF927&ga=91,bill_texts/GA91/HF927.txt,,,,,Border
Iowa,91,HF912,COMMITTEE ON VETERANS AFFAIRS (SUCCESSOR TO HF 469),,https://www.legis.iowa.gov/legislation/BillBook?ba=HF912&ga=91,bill_texts/GA91/HF912.txt,,,Chapter 239,,Foreign
Iowa,91,HF1045,COMMITTEE ON APPROPRIATIONS (SUCCESSOR TO HSB 337),,https://www.legis.iowa.gov/legislation/BillBook?ba=HF1045&ga=91,bill_texts/GA91/HF1045.txt,,,Chapter 284,,Citizenship
Iowa,91,HF1043,COMMITTEE ON APPROPRIATIONS (SUCCESSOR TO HSB 338),,https://www.legis.iowa.gov/legislation/BillBook?ba=HF1043&ga=91,bill_texts/GA91/HF1043.txt,,,Chapter 1148,,Foreign
Iowa,91,HF1040,COMMITTEE ON APPROPRIATIONS (SUCCESSOR TO HSB 336),,https://www.legis.iowa.gov/legislation/BillBook?ba=HF1040&ga=91,bill_texts/GA91/HF1040.txt,,,Chapter 1148,,Alien
Iowa,91,HF1028,"COMMITTEE ON APPROPRIATIONS (SUCCESSOR TO HF 756) (SUCCESSOR TO HSB 72) (As Amended and Passed by the House April 24, 2025 )",,https://www.legis.iowa.gov/legislation/BillBook?ba=HF1028&ga=91,bill_texts/GA91/HF1028.txt,,,Chapter 22,,Foreign
Iowa,91,SF94,SALMON,,https://www.legis.iowa.gov/legislation/BillBook?ba=SF94&ga=91,bill_texts/GA91/SF94.txt,,,,,Citizenship
Iowa,91,SF55,EVANS,,https://www.legis.iowa.gov/legislation/BillBook?ba=SF55&ga=91,bill_texts/GA91/SF55.txt,,,Chapter 321,,Alien
Iowa,91,SF54,ROWLEY,,https://www.legis.iowa.gov/legislation/BillBook?ba=SF54&ga=91,bill_texts/GA91/SF54.txt,,,Chapter 535,,Foreign
Iowa,91,SF48,"LOFGREN, SALMON, SHIPLEY, ALONS, KRAAYENBRINK, ROWLEY, EVANS, TAYLOR, GRUENHAGEN, CAMPBELL, and KLIMESH",,https://www.legis.iowa.gov/legislation/BillBook?ba=SF48&ga=91,bill_texts/GA91/SF48.txt,,,Chapter 148,,Foreign
